shot_number,text,Type,File_name,cut-01/in,cut-01/out,cut-02/in,cut-02/out,cut-03/in,cut-03/out
1,We are now days into the war on Iran and reports are emerging that the US–Israeli strategy is shifting,None,,,,,,,
2,Not towards peace but to armed ethnic insurrection and possible civil war,None,,,,,,,
3,Let me explain what we know and why this is happening,None,,,,,,,
4,Reports including from Kurdish sources suggest the CIA is arming Iranian Kurdish separatist groups,None,,,,,,,
5,Those groups are based in the mountains of northern Iraq and western Iran,None,,,,,,,
6,Those forces are preparing to launch an uprising against the Iranian state with US help,None,,,,,,,
7,There are several Iranian Kurdish groups with thousands of fighters,None,,,,,,,
8,They oppose the Islamic Republic and want an independent Kurdish state,None,,,,,,,
9,There have been signs in the last weeks that something was escalating,None,,,,,,,
10,In February Kurdish opposition parties formed a new alliance against the Islamic Republic,None,,,,,,,
11,In the past seventy two hours the US and Israel bombed Iranian military positions in western Iran,None,,,,,,,
12,Analysts say this may be paving the way for a Kurdish advance,None,,,,,,,
13,Iran has also been bombing Kurdish positions in Iraq,None,,,,,,,
14,Donald Trump spoke with Kurdish leaders about the war and what may come next,None,,,,,,,
15,US Secretary of State Marco Rubio indicated the war will intensify,BRoll,Broll01.mp4,0:05,0:15,,,,
16,Officials leaving a classified briefing expressed concern about the next phase,None,,,,,,,
17,Some fear US ground forces may become involved,None,,,,,,,
18,So what is the point of all this,BRoll,Broll02.mp4,0:00,0:25,,,,
19,Defence analysts say there are several possible outcomes,None,,,,,,,
20,An uprising could occupy Iranian forces in the northwest,BRoll,Broll03.mp4,0:10,0:13,,,,
21,It would stretch Iran’s military across another front,None,,,,,,,
22,It could trigger unrest in major Iranian cities,None,,,,,,,
23,That unrest could attempt to overthrow the Islamic Republic,None,,,,,,,
24,It could even lead to the break up of Iran,None,,,,,,,
25,There are also Balouch separatists along the Iran Pakistan border,None,,,,,,,
26,Tehran and Islamabad have increased cooperation to fight armed groups there,None,,,,,,,
27,Both countries say regional actors are exploiting tensions,None,,,,,,,
28,So why try to ignite an ethnic civil war,None,,,,,,,
29,So far there have been no major protests against the Islamic Republic,None,,,,,,,
30,There have also been no defections from the armed forces,None,,,,,,,
31,Analysts say Iran appears able to fight a long war,soundbite,soundbite01.mp4,0:00,0:30,0:45,1:12,,
32,They believe Iran could exhaust US resources and those of its allies,None,,,,,,,
33,Iran is capable of producing large numbers of missiles each month,None,,,,,,,
34,Iran is not a weak or fragmented state,None,,,,,,,
35,About forty percent of the population comes from different ethnic groups,None,,,,,,,
36,Iranians are strongly nationalistic,None,,,,,,,
37,Analysts believe ethnic uprisings would not gain wide support,None,,,,,,,
38,Even from many opponents of the government,None,,,,,,,
39,The only certainty may be more Iranian bloodshed,None,,,,,,,
40,And two nuclear powers pulling the strings,None,,,,,,,